startedAt,status,end_to_end_seconds
2026-06-20T16:02:14.625Z,failed,350.475
2026-06-20T16:24:15.939Z,failed,226.879
2026-06-20T16:51:26.526Z,failed,245.762
2026-06-20T17:01:09.437Z,failed,324.416
2026-06-20T17:28:04.950Z,completed,453.083
2026-06-25T15:33:13.523Z,failed,117.576
2026-06-25T16:55:52.874Z,failed,32.845
2026-06-25T19:12:17.893Z,completed,109.714
2026-06-25T19:54:08.973Z,failed,621.468
2026-06-29T19:09:36.751Z,completed,402.372
2026-06-29T19:39:09.915Z,completed,262.997
2026-06-29T20:09:34.540Z,completed,191.727
2026-06-29T20:48:13.912Z,completed,268.199
2026-06-29T21:00:32.917Z,completed,246.628
2026-06-29T21:40:58.920Z,completed,174.882
2026-06-29T22:37:52.125Z,completed,208.092
2026-06-29T22:48:34.908Z,completed,275.010
2026-06-29T23:11:53.628Z,completed,293.382
2026-07-01T19:07:06.401Z,completed,383.549
2026-07-01T19:50:15.499Z,completed,325.290
